"time" "room" "temp"
"2022-11-24 06:26:12" "room6" 19.4
"2022-11-24 06:26:12" "room7" 19.6
"2022-11-24 06:26:12" "room8" 20.3
"2022-11-24 06:26:12" "room9" 20.4
"2022-11-24 07:19:53" "room0" 20.2
"2022-11-24 07:19:53" "room1" 20.4
"2022-11-24 07:19:53" "room2" 20.7
"2022-11-24 07:19:53" "room3" 19.7
"2022-11-24 07:19:53" "room4" 19.5
"2022-11-24 07:19:53" "room5" 19.3
"2022-11-24 07:19:53" "room6" 19.5
"2022-11-24 07:19:53" "room7" 19.5
"2022-11-24 07:19:53" "room8" 20.5
"2022-11-24 07:19:53" "room9" 20.5
"2022-11-24 08:26:44" "room0" 20.2
"2022-11-24 08:26:44" "room1" 20.5
"2022-11-24 08:26:44" "room2" 20.6
"2022-11-24 08:26:44" "room3" NA
"2022-11-24 08:26:44" "room4" 19.4
"2022-11-24 08:26:44" "room5" NA
"2022-11-24 08:26:44" "room6" 19.4
"2022-11-24 08:26:44" "room7" NA
"2022-11-24 08:26:44" "room8" 20.3
"2022-11-24 08:26:44" "room9" NA
"2022-11-24 09:20:23" "room0" 20.3
"2022-11-24 09:20:23" "room1" 20.5
"2022-11-24 09:20:23" "room2" 20.6
"2022-11-24 09:20:23" "room3" 19.7
"2022-11-24 09:20:23" "room4" 19.4
"2022-11-24 09:20:23" "room5" 19.4
"2022-11-24 09:20:23" "room6" 19.4
"2022-11-24 09:20:23" "room7" 19.4
"2022-11-24 09:20:23" "room8" 20.2
"2022-11-24 09:20:23" "room9" 20.5
"2022-11-24 10:23:04" "room0" 20.3
"2022-11-24 10:23:04" "room1" NA
"2022-11-24 10:23:04" "room2" 20.7
"2022-11-24 10:23:04" "room3" 19.9
"2022-11-24 10:23:04" "room4" 19.4
"2022-11-24 10:23:04" "room5" 18.2
"2022-11-24 10:23:04" "room6" 19.5
"2022-11-24 10:23:04" "room7" NA
"2022-11-24 10:23:04" "room8" 20
"2022-11-24 10:23:04" "room9" NA
"2022-11-24 11:17:42" "room0" NA
"2022-11-24 11:17:42" "room1" 20.5
"2022-11-24 11:17:42" "room2" 20.6
"2022-11-24 11:17:42" "room3" 19.9
"2022-11-24 11:17:42" "room4" 19.4
"2022-11-24 11:17:42" "room5" NA
"2022-11-24 11:17:42" "room6" NA
"2022-11-24 11:17:42" "room7" NA
"2022-11-24 11:17:42" "room8" 20
"2022-11-24 11:17:42" "room9" 20.2
"2022-11-24 12:40:19" "room0" 20.5
"2022-11-24 12:40:19" "room1" 20.6
"2022-11-24 12:40:19" "room2" NA
"2022-11-24 12:40:19" "room3" NA
"2022-11-24 12:40:19" "room4" NA
"2022-11-24 12:40:19" "room5" NA
"2022-11-24 12:40:19" "room6" NA
"2022-11-24 12:40:19" "room7" NA
"2022-11-24 12:40:19" "room8" NA
"2022-11-24 12:40:19" "room9" 20.3
"2022-11-24 13:35:02" "room0" 20.6
"2022-11-24 13:35:02" "room1" 20.8
"2022-11-24 13:35:02" "room2" 20.7
"2022-11-24 13:35:02" "room3" 20
"2022-11-24 13:35:02" "room4" 19.5
"2022-11-24 13:35:02" "room5" 19.3
"2022-11-24 13:35:02" "room6" NA
"2022-11-24 13:35:02" "room7" NA
"2022-11-24 13:35:02" "room8" 20
"2022-11-24 13:35:02" "room9" 20.4
"2022-11-24 14:18:54" "room0" 20.6
"2022-11-24 14:18:54" "room1" NA
"2022-11-24 14:18:54" "room2" 20.8
"2022-11-24 14:18:54" "room3" 20.1
"2022-11-24 14:18:54" "room4" 19.5
"2022-11-24 14:18:54" "room5" 19.1
"2022-11-24 14:18:54" "room6" 19.7
"2022-11-24 14:18:54" "room7" 19.5
"2022-11-24 14:18:54" "room8" 20
"2022-11-24 14:18:54" "room9" 20.4
"2022-11-24 15:21:38" "room0" 20.6
"2022-11-24 15:21:38" "room1" 21.1
"2022-11-24 15:21:38" "room2" 20.8
"2022-11-24 15:21:38" "room3" 20.1
"2022-11-24 15:21:38" "room4" 19.5
"2022-11-24 15:21:38" "room5" 19.4
"2022-11-24 15:21:38" "room6" 19.7
"2022-11-24 15:21:38" "room7" 19.5
"2022-11-24 15:21:38" "room8" 19.9
"2022-11-24 15:21:38" "room9" 20.4
"2022-11-24 16:28:56" "room0" 20.6
"2022-11-24 16:28:56" "room1" 20.9
"2022-11-24 16:28:56" "room2" 20.7
"2022-11-24 16:28:56" "room3" 20.1
"2022-11-24 16:28:56" "room4" 19.5
"2022-11-24 16:28:56" "room5" 19.3
"2022-11-24 16:28:56" "room6" 19.6
"2022-11-24 16:28:56" "room7" 19.5
"2022-11-24 16:28:56" "room8" 19.9
"2022-11-24 16:28:56" "room9" 20.4
"2022-11-24 17:19:14" "room0" 20.6
"2022-11-24 17:19:14" "room1" 20.8
"2022-11-24 17:19:14" "room2" 20.7
"2022-11-24 17:19:14" "room3" 20
"2022-11-24 17:19:14" "room4" 19.5
"2022-11-24 17:19:14" "room5" 19.3
"2022-11-24 17:19:14" "room6" 19.6
"2022-11-24 17:19:14" "room7" 19.5
"2022-11-24 17:19:14" "room8" 19.9
"2022-11-24 17:19:14" "room9" 20.4
"2022-11-24 18:26:25" "room0" NA
"2022-11-24 18:26:25" "room1" NA
"2022-11-24 18:26:25" "room2" 20.7
"2022-11-24 18:26:25" "room3" 20.1
"2022-11-24 18:26:25" "room4" 19.5
"2022-11-24 18:26:25" "room5" NA
"2022-11-24 18:26:25" "room6" 19.7
"2022-11-24 18:26:25" "room7" 19.5
"2022-11-24 18:26:25" "room8" NA
"2022-11-24 18:26:25" "room9" 20.4
"2022-11-24 19:18:33" "room0" 20.8
"2022-11-24 19:18:33" "room1" 20.7
"2022-11-24 19:18:33" "room2" 20.7
"2022-11-24 19:18:33" "room3" 20.1
"2022-11-24 19:18:33" "room4" 19.5
"2022-11-24 19:18:33" "room5" 19.3
"2022-11-24 19:18:33" "room6" 19.8
"2022-11-24 19:18:33" "room7" 19.5
"2022-11-24 19:18:33" "room8" 20
"2022-11-24 19:18:33" "room9" 20.4
"2022-11-24 20:21:49" "room0" 20.9
"2022-11-24 20:21:49" "room1" 20.7
"2022-11-24 20:21:49" "room2" 20.9
"2022-11-24 20:21:49" "room3" 20.1
"2022-11-24 20:21:49" "room4" 19.5
"2022-11-24 20:21:49" "room5" 19.3
"2022-11-24 20:21:49" "room6" 19.8
"2022-11-24 20:21:49" "room7" 19.6
"2022-11-24 20:21:49" "room8" 20.3
"2022-11-24 20:21:49" "room9" 20.4
"2022-11-24 21:18:43" "room0" NA
"2022-11-24 21:18:43" "room1" 20.7
"2022-11-24 21:18:43" "room2" NA
"2022-11-24 21:18:43" "room3" NA
"2022-11-24 21:18:43" "room4" 19.6
"2022-11-24 21:18:43" "room5" NA
"2022-11-24 21:18:43" "room6" NA
"2022-11-24 21:18:43" "room7" 19.6
"2022-11-24 21:18:43" "room8" 20.4
"2022-11-24 21:18:43" "room9" NA
"2022-11-24 22:20:06" "room0" NA
"2022-11-24 22:20:06" "room1" NA
"2022-11-24 22:20:06" "room2" NA
"2022-11-24 22:20:06" "room3" 20.1
"2022-11-24 22:20:06" "room4" 19.6
"2022-11-24 22:20:06" "room5" 19.4
"2022-11-24 22:20:06" "room6" 19.9
"2022-11-24 22:20:06" "room7" 19.7
"2022-11-24 22:20:06" "room8" 20.4
"2022-11-24 22:20:06" "room9" 20.5
"2022-11-24 23:23:21" "room0" NA
"2022-11-24 23:23:21" "room1" NA
"2022-11-24 23:23:21" "room2" 20.9
"2022-11-24 23:23:21" "room3" NA
"2022-11-24 23:23:21" "room4" NA
"2022-11-24 23:23:21" "room5" 19.4
"2022-11-24 23:23:21" "room6" NA
"2022-11-24 23:23:21" "room7" NA
"2022-11-24 23:23:21" "room8" 20.5
"2022-11-24 23:23:21" "room9" 20.6
"2022-11-25 01:42:32" "room0" NA
"2022-11-25 01:42:32" "room1" 21.1
"2022-11-25 01:42:32" "room2" 20.9
"2022-11-25 01:42:32" "room3" 20.2
"2022-11-25 01:42:32" "room4" 19.8
"2022-11-25 01:42:32" "room5" 19.4
"2022-11-25 01:42:32" "room6" 19.9
"2022-11-25 01:42:32" "room7" 20
"2022-11-25 01:42:32" "room8" 20.4
"2022-11-25 01:42:32" "room9" 20.8
"2022-11-25 03:07:32" "room0" 21.1
"2022-11-25 03:07:32" "room1" NA
"2022-11-25 03:07:32" "room2" 20.9
"2022-11-25 03:07:32" "room3" 20.2
"2022-11-25 03:07:32" "room4" NA
"2022-11-25 03:07:32" "room5" 19.4
"2022-11-25 03:07:32" "room6" 20
"2022-11-25 03:07:32" "room7" NA
"2022-11-25 03:07:32" "room8" 20.5
"2022-11-25 03:07:32" "room9" 20.8
"2022-11-25 04:26:16" "room0" NA
"2022-11-25 04:26:16" "room1" NA
"2022-11-25 04:26:16" "room2" 20.9
"2022-11-25 04:26:16" "room3" NA
"2022-11-25 04:26:16" "room4" 20
"2022-11-25 04:26:16" "room5" 19.5
"2022-11-25 04:26:16" "room6" 20
"2022-11-25 04:26:16" "room7" NA
"2022-11-25 04:26:16" "room8" 20.5
"2022-11-25 04:26:16" "room9" NA
"2022-11-25 05:19:19" "room0" 21.1
"2022-11-25 05:19:19" "room1" 21.2
"2022-11-25 05:19:19" "room2" 20.9
"2022-11-25 05:19:19" "room3" 20.3
"2022-11-25 05:19:19" "room4" 20
"2022-11-25 05:19:19" "room5" 19.5
"2022-11-25 05:19:19" "room6" 20
